item1 item3 item9 item13 item23 item25 item34 item36 item38 item40 item52 item54 item59 item63 item67 item76 item85 item86 item90 item93 item98 item107 item113 
item2 item3 item9 item14 item23 item26 item34 item36 item39 item40 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item99 item108 item114 
item2 item4 item9 item15 item23 item27 item34 item36 item39 item41 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item99 item108 item115 
item1 item3 item10 item15 item23 item25 item34 item36 item38 item41 item52 item54 item59 item63 item67 item76 item85 item86 item90 item93 item98 item107 item113 
item2 item3 item9 item16 item24 item28 item34 item37 item39 item40 item53 item54 item59 item63 item67 item76 item85 item86 item90 item94 item99 item109 item114 
item2 item3 item10 item14 item23 item26 item34 item36 item39 item41 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item98 item108 item114 
item2 item4 item9 item15 item23 item26 item34 item36 item39 item42 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item98 item108 item115 
item2 item4 item10 item15 item23 item27 item34 item36 item39 item41 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item99 item107 item115 
item1 item3 item10 item15 item23 item25 item34 item36 item38 item43 item52 item54 item59 item63 item67 item76 item85 item86 item90 item93 item98 item110 item114 
item2 item4 item9 item14 item23 item26 item34 item36 item39 item42 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item98 item107 item115 
item2 item3 item10 item14 item23 item27 item34 item36 item39 item42 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item99 item108 item114 
item2 item3 item10 item14 item23 item26 item34 item36 item39 item41 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item98 item107 item115 
item2 item4 item9 item14 item23 item26 item34 item36 item39 item44 item52 item55 item59 item63 item67 item76 item85 item86 item90 item93 item99 item107 item114 
item1 item3 item10 item15 item23 item25 item34 item36 item38 item40 item52 item54 item59 item63 item67 item76 item85 item86 item90 item93 item99 item110 item113 
item2 item3 item11 item13 item24 item28 item34 item37 item39 item41 item53 item54 item59 item64 item67 item76 item85 item86 item90 item94 item98 item109 item114 
item2 item5 item11 item16 item24 item28 item34 item36 item38 item40 item52 item54 item59 item63 item67 item76 item85 item86 item90 item93 item99 item111 item113 
item2 item6 item11 item15 item24 item28 item34 item37 item39 item40 item53 item54 item59 item63 item67 item76 item85 item86 item90 item94 item99 item109 item114 
